,PROVINCE,DISTRICT,CONSTITUENCY,WARD,POLLING DISTRICT NAME,POLLING STATION NAME,PHASE
0,CENTRAL,CHIBOMBO,KATUBA,KABILE,KAPOPOLA,Kapopola Primary School,1
1,CENTRAL,CHIBOMBO,KATUBA,CHILOCHABALENJE,CHILOCHABALENJE,Chilochabalenje Primary School,1
2,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,NAMAYANI,Namayani Primary School,1
3,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,KANWANDUBA,Kanwanduba Community School,1
4,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,KANSANGWA,Kansangwa Community Office,1
5,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,MUNGULE NORTH,Namunuunga Primary School,1
6,CENTRAL,CHIBOMBO,KATUBA,MUNGULE,DUZAI,Duzai Community School,1
7,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,MAPILI,Sunshine Community School,1
8,CENTRAL,CHIBOMBO,KATUBA,KATUBA,LUBOBO,Lubobo SDA Church,1
9,CENTRAL,CHIBOMBO,KATUBA,KAMAILA,KAPILA,Kapila Primary School,1
10,CENTRAL,CHIBOMBO,KATUBA,CHILOCHABALENJE,KANWANJIBA,Kanwanjiba Primary School,1
11,CENTRAL,CHIBOMBO,KEEMBE,IPONGO,NKALA,Nkala Community School,1
12,CENTRAL,CHIBOMBO,KEEMBE,IPONGO,BUUMBA,Buumba Community School,1
13,CENTRAL,CHIBOMBO,KEEMBE,MUUNDU,MUKUNKWA,Mukunkwa Community School,1
14,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,CHIPILI,Chipili Primary School,1
15,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,MAKOKA,Makoka Primary School,1
16,CENTRAL,CHIBOMBO,KEEMBE,LUNJOFWA,KABANJE,Kabanje Primary School,1
17,CENTRAL,CHIBOMBO,KEEMBE,MALAMBANYAMA,NAMAKOLONGO,Namakolongo Primary School,1
18,CENTRAL,CHIBOMBO,KEEMBE,MASHIKILI,MASHIKILI CENTRAL,Keembe Primary School,1
19,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,MWANJE,Mwanje Community School,1
20,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,KAKUNKA,Mulabo Primary School,1
21,CENTRAL,CHIBOMBO,KEEMBE,KAKOMA,CHABONA,Chabona Primary School,1
22,CENTRAL,CHIBOMBO,KEEMBE,CHALOSHI,LANDLESS CORNER,Shalubala Primary School,1
23,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,MAYOTA,Mayota Primary School,1
24,CENTRAL,CHIBOMBO,KEEMBE,KEEMBE,MUKACHEMBE,Mukachembe Community School,1
25,CENTRAL,CHIBOMBO,KEEMBE,KALOLA,KALOLA SOUTH,Muntemba Primary School,1
26,CENTRAL,CHIBOMBO,KEEMBE,CHIBOMBO,KAPUKUPUKU,Kapukupuku Fishing Camp,1
27,CENTRAL,CHIBOMBO,KEEMBE,CHIBOMBO,LYANSA,Lyansa Community School,1
28,CENTRAL,CHIBOMBO,KEEMBE,CHIKOBO,KASUKWE,Kasukwe UCZ Church,1
29,CENTRAL,CHIBOMBO,KATUBA,KABILE,KABILE,Kabile Primary School,2
30,CENTRAL,CHIBOMBO,KATUBA,CHILOCHABALENJE,LUPANI,Lupani Primary School,2
31,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,CHIPESO,Chipeso Primary School,2
32,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,KATOLE,Katole Primary School,2
33,CENTRAL,CHIBOMBO,KATUBA,MUCHENJE,MALICHASHI,Malichashi Primary School,2
34,CENTRAL,CHIBOMBO,KATUBA,CHOLOKELO,MWASHINYAMBO,Mwashinyambo Community School,2
35,CENTRAL,CHIBOMBO,KATUBA,MUNGULE,SHIFWANKULA WEST,Kapopo Primary School,2
36,CENTRAL,CHIBOMBO,KATUBA,CHUNGA,KABANGWE EAST,Kingston Primary School,2
37,CENTRAL,CHIBOMBO,KATUBA,KATUBA,CHIKUMBI,Nazarene Church,2
38,CENTRAL,CHIBOMBO,KATUBA,KAMAILA,KALIMANSENGA,Chimpetu Community School,2
39,CENTRAL,CHIBOMBO,KEEMBE,CHALOSHI,ZAMBIA NATIONAL SERVICE,Steve Pende Primary School,2
40,CENTRAL,CHIBOMBO,KEEMBE,ITUMBWE,MOONGO,Moongo Catholic Church,2
41,CENTRAL,CHIBOMBO,KEEMBE,IPONGO,NYAMFULA,Nyamfula Community School,2
42,CENTRAL,CHIBOMBO,KEEMBE,MUUNDU,KELILIMWANDWE,Kelilimwandwe Primary School,2
43,CENTRAL,CHIBOMBO,KEEMBE,CHITANDA,LUBUNDI,Lubundi Primary School,2
